PARK,AREA,CLUBNAME,LEAGUE,
PEARSE PARK,SOUTH CENTRAL,CRUMLIN HF&C,GAELIC ATHLETIC ASSOCIATION,
PEARSE PARK,SOUTH CENTRAL,GOOD COUNSEL G.A.A.,GAELIC ATHLETIC ASSOCIATION,
POPPINTREE,NORTH WEST,BALLYMUN KICKHAMS,GAELIC ATHLETIC ASSOCIATION,
POPPINTREE ,NORTH WEST,SETANTA,GAELIC ATHLETIC ASSOCIATION,
RINGSEND,SOUTH EAST,CLANNA GAEL FONTENOY,GAELIC ATHLETIC ASSOCIATION,
SEAN MOORE,SOUTH EAST,CLANNA GAEL FONTENOY,GAELIC ATHLETIC ASSOCIATION,
SPRINGDALE ,NORTH CENTRAL,ST. MONICAS G.A.A.,GAELIC ATHLETIC ASSOCIATION,
ST ANNES,NORTH CENTRAL,ST. LAWR. O`TOOLE G.A.A.,GAELIC ATHLETIC ASSOCIATION,
ST ANNES,NORTH CENTRAL,CRAOBH CHIARAIN,GAELIC ATHLETIC ASSOCIATION,
ST ANNES,NORTH CENTRAL,ST. VINCENTS G.A.A,GAELIC ATHLETIC ASSOCIATION,
ST  ANNES,NORTH CENTRAL,NAOMH BARROG G.A.A.,GAELIC ATHLETIC ASSOCIATION,
ST ANNES,NORTH CENTRAL,SCOIL UI CHONAILL,GAELIC ATHLETIC ASSOCIATION,
ST ANNES,NORTH CENTRAL,CLONTARF G.A.A. CLUB,GAELIC ATHLETIC ASSOCIATION,
ST ANNES,NORTH CENTRAL,RAHENY G.A.A.,GAELIC ATHLETIC ASSOCIATION,
THE RANCH,SOUTH CENTRAL,LIFFEY GAELS G.A.A.,GAELIC ATHLETIC ASSOCIATION,
WALKINSTOWN,SOUTH CENTRAL,GOOD COUNSEL G.A.A.,GAELIC ATHLETIC ASSOCIATION,
ST. ANNES ,NORTH CENTRAL,CLONTARF RUGBY CLUB,IRISH RUGBY FOOTBALL UNION,
BRICKFIELDS,SOUTH CENTRAL,BENBULBEN UTD F.C (new team),LEINSTER FOOTBALL LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,INCHICORE ATHLETIC  F.C.,LEINSTER FOOTBALL LEAGUE,
DARTRY ,SOUTH EAST,DODDERVALE UNITED,LEINSTER FOOTBALL LEAGUE,
FARNHAM,NORTH WEST,FINGLAS ATHLETIC,LEINSTER FOOTBALL LEAGUE,
JOHN PAUL,CENTRAL,CABRA CELTIC,LEINSTER FOOTBALL LEAGUE,
LE FANU,SOUTH CENTRAL,COLEPARK UTD,LEINSTER FOOTBALL LEAGUE,
RINGSEND ,SOUTH EAST,HOGANVILLA F.C,LEINSTER FOOTBALL LEAGUE,
STANNAWAY,SOUTH CENTRAL,GALTY CELTIC,LEINSTER FOOTBALL LEAGUE,
STANNAWAY,SOUTH CENTRAL,YELLOWSTONE CELTIC,LEINSTER FOOTBALL LEAGUE,
STANNAWAY ,SOUTH CENTRAL,HAROLDS CROSS Y.C,LEINSTER FOOTBALL LEAGUE,
WALKINSTOWN,SOUTH CENTRAL,YELLOWSTONE CELTIC,LEINSTER FOOTBALL LEAGUE,
DOLPHIN ,SOUTH CENTRAL,RIALTO F.C,LEINSTER FOOTBALL LEAGUE.AMATEUR FOOTBALL LEAGUE,
BEECHILL,SOUTH EAST,BEECHILL UNITED,LEINSTER SENIOR LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,QUEENS PARK F.C.,LEINSTER SENIOR LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,MOURNE CELTIC SENIORS,LEINSTER SENIOR LEAGUE,
BRICKFIELDS  ,SOUTH CENTRAL,BLACK FORGE,LEINSTER SENIOR LEAGUE,
BUNTING ROAD ,SOUTH CENTRAL,W.S.A.F.,LEINSTER SENIOR LEAGUE,
BUSHY,SOUTH CENTRAL,ST. VINCENT'S HOSPITAL FC,LEINSTER SENIOR LEAGUE,
BUSHY,SOUTH CENTRAL,ENGLISH IN DUBLIN F.C,LEINSTER SENIOR LEAGUE,
BUSHY ,SOUTH CENTRAL,RATHFARNHAM PUNTERS,LEINSTER SENIOR LEAGUE,
DARTRY,SOUTH EAST,ORWELL F.C.,LEINSTER SENIOR LEAGUE,
HERBERT ,SOUTH EAST,ENGLISH IN DUBLIN F.C,LEINSTER SENIOR LEAGUE,
